ssn	job	company	mail	address	name	birthdate	username	current_location	registration	blood_group	user_id	station_ID
16079358484	Tecnólogo em produção Sucroalcooleira	Aparecida	henry-gabriel43@ig.com.br	"Travessa Ana Lívia Campos, 91
Santo André
25248492 da Luz do Oeste / PI"	Matteo da Paz		biancaaraujo	(Decimal('-76.8034745'), Decimal('-20.458717'))	2023-01-02	B+	1184	138
26108593415		da Cruz	melobenicio@ig.com.br		Olívia Borges	1953-03-05	guilherme39	(Decimal('67.895901'), Decimal('-127.389115'))	09/21/2023, 00:00:00	O-	866	240
719-39-4782		合同会社松田運輸	rikakato@hotmail.com	青森県足立区京橋13丁目8番7号 クレスト四番町179	加藤 和也	1992-07-20	yoichiito	(Decimal('18.284540'), Decimal('-177.076638'))	2023/04/18	B+	1041	48
217-55-1186		長谷川電気有限会社	satomi76@yahoo.com		山田 裕美子		tanakaharuka	(Decimal('-68.872621'), Decimal('-46.050857'))	11 Jan 2023	AB-	867	674
DGLNNI79D10E171A		Pavone e figli	gferragamo@hotmail.it	"Rotonda Ariasso, 82
30170, Venezia Mestre (VE)"	Dott. Giovanna Gatto	2012-09-30	claudia38	(Decimal('-48.083341'), Decimal('-134.277595'))	2020/11/21	B+	534	101
255-29-5999		石川電気有限会社	kyosuke05@gmail.com	長野県大網白里市筑土八幡町7丁目27番1号	松田 健一		kazuya52	(Decimal('80.8252265'), Decimal('78.198075'))	02/25/2021, 00:00:00	AB-	1645	431
SMNMLI15H53H812E		Offredi e figli	dsismondi@tele2.it	"Incrocio Ida, 34
47861, Casteldelci (RN)"	Massimo Rensi		gcorcos	(Decimal('-10.0450875'), Decimal('57.382172'))	06/19/2023, 00:00:00	AB-	203	260
987-98-2262		Hauffer OHG mbH	tbruder@googlemail.com	"Edeltraud-Mälzer-Allee 28
70241 Teterow"	Univ.Prof. Pascale Klotz B.Sc.	1925-10-11	rosalinde59	(Decimal('21.248553'), Decimal('-59.515642'))	2025-01-25	B+	83	492
051-54-1400		van der Dussen GmbH	ludmila51@gmail.com		Clemens Weimer	1922-03-23	friedrich-karl93	(Decimal('38.4581845'), Decimal('-140.659258'))	13 Jul 2025	A-	770	652
10497832550		Ramos e Filhos	leocunha@bol.com.br	"Campo Barros, 44
Alto Dos Pinheiros
46187-087 Câmara da Serra / PR"	Anna Liz Novaes	2018-07-10	dantecampos	(Decimal('37.0434775'), Decimal('80.389636'))	2024/11/24	AB+	1173	789
643-68-2738		株式会社佐藤鉱業	chiyo93@gmail.com	山梨県我孫子市羽折町35丁目2番6号 西神田パーク111	福田 充		jishikawa		2019/07/13	AB+	1401	688
162-47-3726	Aid worker	Fisher Inc	ustephens@gmail.com	"988 Tammy Trail Apt. 389
New Christinaview, MH 46805"	Todd Singh		barbara66	(Decimal('-25.4319815'), Decimal('-166.884317'))	2024/04/17	O-	708	158
500-84-3800		佐藤農林有限会社	tsubasa58@yahoo.com	岩手県江戸川区京橋1丁目15番6号	木村 拓真	1998-02-07	cnakamura	(Decimal('-58.164220'), Decimal('-132.290732'))	16 May 2019	O-	2010	8
80549173250	Dogueiro	Siqueira - ME	barrosanna-liz@hotmail.com	"Esplanada Juan Vasconcelos, 48
Conjunto Califórnia Ii
26616796 Farias / PA"	Gustavo Guerra	1968-01-31	tfonseca	(Decimal('-76.566154'), Decimal('84.045722'))	11 Nov 2021	A+	467	103
069-15-0928		Schenk	etzlerchrista-maria@hotmail.de		Ing. Ernestine Siering		sfranke	(Decimal('-43.9803095'), Decimal('53.725939'))	10/05/2020, 00:00:00	A+	1658	511
808-39-7183	Erzieher	Bärer Junck KG	arogge@gmail.com	"Truppstraße 8-9
45933 Angermünde"	Kristine Klotz		philip26	(Decimal('-29.5547955'), Decimal('39.832744'))	12/12/2020, 00:00:00	AB-	618	790
498-47-7129		太田建設株式会社	taichikato@hotmail.com	広島県横浜市保土ケ谷区日本堤31丁目26番1号 大京町シャルム874	木村 知実	1961-04-30	msaito	(Decimal('42.5199335'), Decimal('-71.561386'))	2025/08/03	A+	382	613
366-11-4517		Dörr	michaela00@googlemail.com	"Elli-Fiebig-Ring 79-75
06617 Lüneburg"	Dipl.-Ing. Harm Jacob B.Sc.	1933-12-25	vboucsein	(Decimal('-73.0221005'), Decimal('-139.343129'))	2022-10-19	A+	402	754
467-74-9892		Salz GmbH & Co. KG	ottonadine@googlemail.com	"Henckstraße 523
64096 Rehau"	Prof. René Hornich B.Sc.		francesco80	(Decimal('-84.3738475'), Decimal('-39.444776'))	09/22/2025, 00:00:00	O+	655	144
53482790647	Perfusionista	Sampaio	casa-grandeeduarda@bol.com.br	"Campo Sales, 98
Itaipu
30537196 Ribeiro de Machado / RR"	Nicolas Pimenta	1926-02-07	pedro-henriquealbuquerque	(Decimal('-8.626373'), Decimal('61.130405'))	05/22/2022, 00:00:00	A-	2005	0
